,Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
34,2001,Brisbane,Minor injury,0 to 16,Female,Passenger,42
1055,2001,Brisbane,Medically treated,0 to 16,Female,Bicyclist,3
1964,2001,Brisbane,Fatality,0 to 16,Female,Passenger,1
2756,2001,Brisbane,Medically treated,0 to 16,Female,Passenger,67
2776,2001,Brisbane,Minor injury,0 to 16,Male,Passenger,27
4873,2001,Brisbane,Minor injury,0 to 16,Female,Driver,1
5596,2001,Brisbane,Medically treated,0 to 16,Male,Pedestrian,15
6295,2001,Brisbane,Hospitalised,0 to 16,Male,Pedestrian,17
6302,2001,Brisbane,Medically treated,0 to 16,Male,Passenger,48
8366,2001,Brisbane,Medically treated,0 to 16,Male,Bicyclist,15
9046,2001,Brisbane,Hospitalised,0 to 16,Female,Passenger,17
9385,2001,Brisbane,Hospitalised,0 to 16,Female,Pedestrian,11
9605,2001,Brisbane,Fatality,0 to 16,Female,Pedestrian,1
9915,2001,Brisbane,Fatality,0 to 16,Male,Pedestrian,1
10620,2001,Brisbane,Medically treated,0 to 16,Male,Motorcyclist,1
11037,2001,Brisbane,Medically treated,0 to 16,Male,Driver,1
11199,2001,Brisbane,Minor injury,0 to 16,Male,Bicyclist,11
12239,2001,Brisbane,Minor injury,0 to 16,Female,Pedestrian,5
14743,2001,Brisbane,Medically treated,0 to 16,Female,Pedestrian,10
16015,2001,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,2
16346,2001,Brisbane,Hospitalised,0 to 16,Male,Driver,5
18384,2001,Brisbane,Minor injury,0 to 16,Female,Bicyclist,2
18600,2001,Brisbane,Medically treated,0 to 16,Female,Driver,1
19010,2001,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,3
19360,2001,Brisbane,Hospitalised,0 to 16,Female,Driver,1
19573,2001,Brisbane,Hospitalised,0 to 16,Male,Passenger,22
20308,2001,Brisbane,Minor injury,0 to 16,Male,Pedestrian,11
20982,2001,Brisbane,Fatality,0 to 16,Male,Passenger,1
21515,2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,19
21916,2001,Brisbane,Minor injury,0 to 16,Male,Motorcyclist,1
22102,2001,Brisbane,Minor injury,0 to 16,Male,Driver,2
705,2001,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,4
1550,2001,Brisbane,Hospitalised,17 to 24,Female,Pedestrian,6
2751,2001,Brisbane,Hospitalised,17 to 24,Female,Passenger,49
3472,2001,Brisbane,Hospitalised,17 to 24,Male,Pedestrian,19
3805,2001,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,4
5516,2001,Brisbane,Fatality,17 to 24,Female,Passenger,1
5570,2001,Brisbane,Medically treated,17 to 24,Male,Driver,190
6639,2001,Brisbane,Fatality,17 to 24,Male,Driver,7
