,Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
454,2013,Brisbane,Hospitalised,25 to 29,Female,Pedestrian,5
457,2013,Brisbane,Hospitalised,50 to 59,Female,Passenger,16
469,2016,Brisbane,Medically treated,30 to 39,Male,Bicyclist,19
470,2015,Brisbane,Minor injury,30 to 39,Male,Bicyclist,9
471,2015,Brisbane,Hospitalised,30 to 39,Female,Driver,70
473,2015,Brisbane,Medically treated,25 to 29,Male,Driver,115
477,2016,Brisbane,Medically treated,17 to 24,Female,Driver,189
482,2015,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,4
490,2016,Brisbane,Minor injury,40 to 49,Female,Passenger,7
495,2016,Brisbane,Medically treated,40 to 49,Male,Driver,187
502,2015,Brisbane,Medically treated,17 to 24,Male,Bicyclist,12
507,2016,Brisbane,Medically treated,60 to 74,Male,Driver,82
509,2015,Brisbane,Minor injury,30 to 39,Female,Driver,49
512,2015,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,40
518,2014,Brisbane,Medically treated,40 to 49,Female,Driver,167
523,2016,Brisbane,Hospitalised,75 and over,Female,Pedestrian,4
528,2015,Brisbane,Minor injury,25 to 29,Male,Driver,30
535,2014,Brisbane,Hospitalised,30 to 39,Male,Driver,86
536,2013,Brisbane,Medically treated,75 and over,Male,Driver,28
546,2014,Brisbane,Minor injury,0 to 16,Female,Passenger,15
549,2014,Brisbane,Minor injury,60 to 74,Male,Driver,24
550,2013,Brisbane,Medically treated,30 to 39,Female,Passenger,58
551,2015,Brisbane,Minor injury,30 to 39,Male,Driver,54
558,2014,Brisbane,Hospitalised,25 to 29,Female,Driver,56
561,2013,Brisbane,Medically treated,17 to 24,Female,Pedestrian,15
562,2014,Brisbane,Hospitalised,0 to 16,Male,Passenger,16
567,2014,Brisbane,Hospitalised,0 to 16,Female,Passenger,31
570,2014,Brisbane,Medically treated,17 to 24,Female,Passenger,61
579,2018,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,35
581,2017,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,30
582,2018,Brisbane,Medically treated,17 to 24,Male,Driver,144
585,2017,Brisbane,Medically treated,40 to 49,Female,Driver,201
588,2017,Brisbane,Medically treated,30 to 39,Male,Passenger,17
590,2017,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,56
592,2016,Brisbane,Hospitalised,25 to 29,Male,Driver,54
594,2018,Brisbane,Hospitalised,30 to 39,Female,Driver,101
595,2018,Brisbane,Minor injury,25 to 29,Female,Passenger,28
597,2018,Brisbane,Medically treated,30 to 39,Unknown,Motorcyclist,1
603,2015,Brisbane,Medically treated,25 to 29,Female,Passenger,33
617,2016,Brisbane,Medically treated,0 to 16,Female,Pedestrian,9
623,2018,Brisbane,Medically treated,50 to 59,Female,Driver,128
626,2017,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,10
629,2017,Brisbane,Minor injury,30 to 39,Male,Bicyclist,9
630,2017,Brisbane,Medically treated,0 to 16,Male,Passenger,40
634,2017,Brisbane,Medically treated,60 to 74,Male,Driver,80
636,2017,Brisbane,Medically treated,17 to 24,Female,Passenger,67
637,2016,Brisbane,Hospitalised,40 to 49,Female,Passenger,14
641,2016,Brisbane,Minor injury,60 to 74,Female,Driver,26
643,2017,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,66
644,2017,Brisbane,Hospitalised,17 to 24,Female,Pedestrian,11
645,2016,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,39
646,2017,Brisbane,Minor injury,40 to 49,Male,Pedestrian,2
652,2016,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,60
663,2016,Brisbane,Minor injury,60 to 74,Male,Driver,24
666,2016,Brisbane,Minor injury,17 to 24,Male,Driver,47
668,2018,Brisbane,Medically treated,75 and over,Male,Driver,17
669,2017,Brisbane,Medically treated,0 to 16,Female,Passenger,61
671,2018,Brisbane,Minor injury,17 to 24,Female,Passenger,29
677,2018,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,7
678,2018,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,15
680,2018,Brisbane,Hospitalised,50 to 59,Male,Driver,56
681,2018,Brisbane,Minor injury,50 to 59,Female,Driver,58
684,2018,Brisbane,Hospitalised,25 to 29,Male,Driver,48
687,2018,Brisbane,Hospitalised,30 to 39,Female,Passenger,19
690,2018,Brisbane,Minor injury,25 to 29,Unknown,Driver,2
692,2017,Brisbane,Hospitalised,30 to 39,Female,Passenger,17
694,2018,Brisbane,Hospitalised,17 to 24,Male,Pedestrian,13
924,2013,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,9
932,2016,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,34
934,2014,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,4
937,2014,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,25
939,2015,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,27
942,2015,Brisbane,Medically treated,75 and over,Male,Bicyclist,1
946,2016,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,10
957,2015,Brisbane,Medically treated,30 to 39,Unknown,Driver,1
961,2015,Brisbane,Fatality,75 and over,Female,Pedestrian,1
983,2015,Brisbane,Minor injury,60 to 74,Male,Driver,31
985,2018,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,12
986,2018,Brisbane,Medically treated,30 to 39,Female,Passenger,55
992,2017,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,20
995,2017,Brisbane,Minor injury,0 to 16,Male,Passenger,19
997,2018,Brisbane,Minor injury,40 to 49,Male,Bicyclist,4
1005,2017,Brisbane,Medically treated,40 to 49,Male,Bicyclist,22
1013,2018,Brisbane,Hospitalised,40 to 49,Female,Driver,65
1173,2013,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,5
1176,2013,Brisbane,Hospitalised,75 and over,Female,Passenger,8
