,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
0,2001,Brisbane,Fatal,0,0,0,0,0,0,0,1,1,0,0,0,1
1,2001,Brisbane,Fatal,0,1,0,0,0,0,0,5,5,1,0,0,6
2,2001,Brisbane,Fatal,0,1,0,1,0,0,0,4,4,0,2,0,6
3,2001,Brisbane,Fatal,0,1,0,1,0,0,1,1,1,0,0,0,1
4,2001,Brisbane,Fatal,0,1,0,1,1,0,0,1,1,1,0,0,2
5,2001,Brisbane,Fatal,0,1,1,0,0,0,0,1,1,1,0,0,2
6,2001,Brisbane,Fatal,0,1,1,0,1,0,0,2,2,0,1,0,3
7,2001,Brisbane,Fatal,1,0,0,0,0,0,0,9,10,0,0,0,10
8,2001,Brisbane,Fatal,1,0,0,0,0,0,1,5,5,3,0,0,8
9,2001,Brisbane,Fatal,1,0,0,0,1,0,0,2,3,0,0,0,3
10,2001,Brisbane,Fatal,1,0,0,1,0,0,0,3,3,0,0,0,3
11,2001,Brisbane,Fatal,1,0,1,0,0,0,0,2,2,0,2,0,4
12,2001,Brisbane,Fatal,1,0,1,0,0,0,1,2,2,5,0,0,7
13,2001,Brisbane,Fatal,1,0,1,0,1,0,0,6,6,3,0,0,9
14,2001,Brisbane,Fatal,1,1,0,0,0,0,1,1,1,2,0,0,3
15,2001,Brisbane,Fatal,1,1,0,1,0,0,0,1,1,0,0,0,1
16,2001,Brisbane,Fatal,1,1,1,0,0,0,0,2,2,2,1,2,7
17,2001,Brisbane,Fatal,1,1,1,0,1,0,0,1,1,2,0,0,3
18,2001,Brisbane,Fatal,1,1,1,1,1,0,0,1,1,1,0,0,2
19,2001,Brisbane,Hospitalisation,0,0,0,0,0,0,0,25,0,25,1,0,26
20,2001,Brisbane,Hospitalisation,0,1,0,0,0,0,0,101,0,116,7,12,135
21,2001,Brisbane,Hospitalisation,0,1,0,0,0,0,1,2,0,2,0,0,2
22,2001,Brisbane,Hospitalisation,0,1,0,0,1,0,0,1,0,1,0,0,1
23,2001,Brisbane,Hospitalisation,0,1,0,1,0,0,0,19,0,19,0,1,20
24,2001,Brisbane,Hospitalisation,0,1,0,1,1,0,0,1,0,1,0,0,1
25,2001,Brisbane,Hospitalisation,0,1,1,0,0,0,0,26,0,28,3,3,34
26,2001,Brisbane,Hospitalisation,0,1,1,0,0,0,1,2,0,5,0,0,5
27,2001,Brisbane,Hospitalisation,0,1,1,0,0,1,0,2,0,2,1,0,3
28,2001,Brisbane,Hospitalisation,0,1,1,0,1,0,0,49,0,55,5,2,62
29,2001,Brisbane,Hospitalisation,0,1,1,0,1,0,1,1,0,2,0,0,2
30,2001,Brisbane,Hospitalisation,0,1,1,1,0,0,0,1,0,2,0,0,2
31,2001,Brisbane,Hospitalisation,0,1,1,1,1,0,0,1,0,2,0,0,2
32,2001,Brisbane,Hospitalisation,1,0,0,0,0,0,0,276,0,305,10,13,328
33,2001,Brisbane,Hospitalisation,1,0,0,0,0,0,1,21,0,28,3,0,31
34,2001,Brisbane,Hospitalisation,1,0,0,0,0,1,0,4,0,4,0,0,4
35,2001,Brisbane,Hospitalisation,1,0,0,0,1,0,0,13,0,13,0,0,13
36,2001,Brisbane,Hospitalisation,1,0,0,1,0,0,0,78,0,87,9,2,98
37,2001,Brisbane,Hospitalisation,1,0,0,1,0,0,1,3,0,4,1,0,5
38,2001,Brisbane,Hospitalisation,1,0,0,1,1,0,0,3,0,3,0,0,3
39,2001,Brisbane,Hospitalisation,1,0,1,0,0,0,0,90,0,102,13,3,118
40,2001,Brisbane,Hospitalisation,1,0,1,0,0,0,1,25,0,32,4,1,37
41,2001,Brisbane,Hospitalisation,1,0,1,0,0,1,0,5,0,6,2,1,9
42,2001,Brisbane,Hospitalisation,1,0,1,0,1,0,0,102,0,127,14,14,155
43,2001,Brisbane,Hospitalisation,1,0,1,0,1,0,1,2,0,3,0,0,3
44,2001,Brisbane,Hospitalisation,1,0,1,0,1,1,0,1,0,1,0,0,1
45,2001,Brisbane,Hospitalisation,1,0,1,1,0,0,0,6,0,8,1,0,9
46,2001,Brisbane,Hospitalisation,1,0,1,1,1,0,0,2,0,3,0,2,5
47,2001,Brisbane,Hospitalisation,1,1,0,0,0,0,0,103,0,125,12,8,145
48,2001,Brisbane,Hospitalisation,1,1,0,0,0,0,1,6,0,7,2,1,10
49,2001,Brisbane,Hospitalisation,1,1,0,0,0,1,0,2,0,2,0,0,2
50,2001,Brisbane,Hospitalisation,1,1,0,0,1,0,0,7,0,8,2,2,12
51,2001,Brisbane,Hospitalisation,1,1,0,1,0,0,0,43,0,48,18,6,72
52,2001,Brisbane,Hospitalisation,1,1,0,1,0,0,1,4,0,6,5,1,12
53,2001,Brisbane,Hospitalisation,1,1,0,1,0,1,0,1,0,1,0,0,1
54,2001,Brisbane,Hospitalisation,1,1,0,1,1,0,0,1,0,1,0,0,1
55,2001,Brisbane,Hospitalisation,1,1,1,0,0,0,0,62,0,74,3,4,81
56,2001,Brisbane,Hospitalisation,1,1,1,0,0,0,1,4,0,5,3,1,9
57,2001,Brisbane,Hospitalisation,1,1,1,0,0,1,0,3,0,4,0,0,4
58,2001,Brisbane,Hospitalisation,1,1,1,0,1,0,0,70,0,87,13,8,108
59,2001,Brisbane,Hospitalisation,1,1,1,0,1,0,1,2,0,3,1,0,4
60,2001,Brisbane,Hospitalisation,1,1,1,0,1,1,0,1,0,1,1,0,2
61,2001,Brisbane,Hospitalisation,1,1,1,1,0,0,0,10,0,11,0,0,11
62,2001,Brisbane,Hospitalisation,1,1,1,1,0,0,1,1,0,2,0,0,2
63,2001,Brisbane,Hospitalisation,1,1,1,1,1,0,0,4,0,4,3,0,7
64,2001,Brisbane,Hospitalisation,1,1,1,1,1,0,1,1,0,1,1,0,2
65,2001,Brisbane,Hospitalisation,1,1,1,1,1,1,0,1,0,1,0,0,1
66,2001,Brisbane,Medical treatment,0,0,0,0,0,0,0,37,0,0,38,0,38
67,2001,Brisbane,Medical treatment,0,1,0,0,0,0,0,208,0,0,238,5,243
68,2001,Brisbane,Medical treatment,0,1,0,0,0,0,1,1,0,0,1,0,1
69,2001,Brisbane,Medical treatment,0,1,0,0,0,1,0,2,0,0,2,0,2
70,2001,Brisbane,Medical treatment,0,1,0,0,1,0,0,2,0,0,2,0,2
71,2001,Brisbane,Medical treatment,0,1,0,1,0,0,0,33,0,0,37,3,40
72,2001,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,0,0,1,0,1
73,2001,Brisbane,Medical treatment,0,1,1,0,0,0,0,50,0,0,64,2,66
74,2001,Brisbane,Medical treatment,0,1,1,0,0,0,1,3,0,0,4,0,4
75,2001,Brisbane,Medical treatment,0,1,1,0,0,1,0,1,0,0,1,0,1
76,2001,Brisbane,Medical treatment,0,1,1,0,1,0,0,77,0,0,88,7,95
77,2001,Brisbane,Medical treatment,0,1,1,0,1,0,1,1,0,0,1,0,1
78,2001,Brisbane,Medical treatment,0,1,1,1,0,0,0,5,0,0,6,0,6
79,2001,Brisbane,Medical treatment,0,1,1,1,1,0,0,2,0,0,2,0,2
80,2001,Brisbane,Medical treatment,1,0,0,0,0,0,0,411,0,0,476,13,489
81,2001,Brisbane,Medical treatment,1,0,0,0,0,0,1,30,0,0,33,2,35
82,2001,Brisbane,Medical treatment,1,0,0,0,0,1,0,10,0,0,11,1,12
83,2001,Brisbane,Medical treatment,1,0,0,0,0,1,1,1,0,0,2,0,2
84,2001,Brisbane,Medical treatment,1,0,0,0,1,0,0,18,0,0,21,4,25
85,2001,Brisbane,Medical treatment,1,0,0,1,0,0,0,108,0,0,131,3,134
86,2001,Brisbane,Medical treatment,1,0,0,1,0,0,1,3,0,0,4,0,4
87,2001,Brisbane,Medical treatment,1,0,0,1,0,1,0,1,0,0,1,0,1
88,2001,Brisbane,Medical treatment,1,0,0,1,1,0,0,2,0,0,2,1,3
89,2001,Brisbane,Medical treatment,1,0,1,0,0,0,0,134,0,0,145,9,154
90,2001,Brisbane,Medical treatment,1,0,1,0,0,0,1,14,0,0,15,6,21
