,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
0,2015,Brisbane,Fatal,0,1,0,0,0,0,0,5,5,0,0,1,6
1,2015,Brisbane,Fatal,1,0,0,0,0,0,0,10,10,0,0,1,11
2,2015,Brisbane,Fatal,1,0,0,0,0,0,1,3,3,0,0,0,3
3,2015,Brisbane,Fatal,1,0,0,0,0,1,0,1,1,1,0,0,2
4,2015,Brisbane,Fatal,1,0,0,1,0,0,0,3,3,1,0,0,4
5,2015,Brisbane,Fatal,1,0,1,0,0,0,0,1,1,0,0,0,1
6,2015,Brisbane,Fatal,1,0,1,0,0,1,0,1,1,0,0,0,1
7,2015,Brisbane,Fatal,1,0,1,0,1,0,0,2,2,0,0,0,2
8,2015,Brisbane,Fatal,1,1,0,0,0,0,0,2,3,1,1,1,6
9,2015,Brisbane,Fatal,1,1,0,0,0,0,1,1,1,1,1,0,3
10,2015,Brisbane,Fatal,1,1,1,0,0,0,1,1,1,0,0,0,1
11,2015,Brisbane,Hospitalisation,0,0,0,0,0,0,0,28,0,30,2,1,33
12,2015,Brisbane,Hospitalisation,0,1,0,0,0,0,0,123,0,131,12,8,151
13,2015,Brisbane,Hospitalisation,0,1,0,0,0,0,1,9,0,12,1,0,13
14,2015,Brisbane,Hospitalisation,0,1,0,0,1,0,0,3,0,5,0,0,5
15,2015,Brisbane,Hospitalisation,0,1,0,1,0,0,0,41,0,47,1,0,48
16,2015,Brisbane,Hospitalisation,0,1,0,1,1,0,0,1,0,1,0,0,1
17,2015,Brisbane,Hospitalisation,0,1,1,0,0,0,0,36,0,44,2,2,48
18,2015,Brisbane,Hospitalisation,0,1,1,0,0,0,1,4,0,4,0,0,4
19,2015,Brisbane,Hospitalisation,0,1,1,0,1,0,0,39,0,52,2,4,58
