,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
0,2001,Brisbane,Fatal,0,0,0,0,31,31,8,6,2,47
1,2001,Brisbane,Fatal,0,0,0,1,1,1,0,0,0,1
2,2001,Brisbane,Fatal,0,1,0,0,8,8,5,0,0,13
3,2001,Brisbane,Fatal,1,0,0,0,2,2,0,0,0,2
4,2001,Brisbane,Fatal,1,0,0,1,1,1,3,0,0,4
5,2001,Brisbane,Fatal,1,1,0,0,7,9,5,0,0,14
6,2001,Brisbane,Hospitalisation,0,0,0,0,1019,0,1161,110,72,1343
7,2001,Brisbane,Hospitalisation,0,0,0,1,14,0,15,1,0,16
8,2001,Brisbane,Hospitalisation,0,0,1,0,22,0,29,2,0,31
9,2001,Brisbane,Hospitalisation,0,1,0,0,40,0,51,9,8,68
10,2001,Brisbane,Hospitalisation,0,1,0,1,1,0,1,0,0,1
11,2001,Brisbane,Hospitalisation,0,1,1,0,2,0,2,0,0,2
12,2001,Brisbane,Hospitalisation,1,0,0,0,72,0,95,14,5,114
13,2001,Brisbane,Hospitalisation,1,0,0,1,1,0,1,0,0,1
14,2001,Brisbane,Hospitalisation,1,0,1,0,5,0,5,0,0,5
15,2001,Brisbane,Hospitalisation,1,1,0,0,12,0,17,2,0,19
16,2001,Brisbane,Medical treatment,0,0,0,0,2035,0,0,2393,138,2531
17,2001,Brisbane,Medical treatment,0,0,0,1,29,0,0,33,0,33
18,2001,Brisbane,Medical treatment,0,0,1,0,10,0,0,11,1,12
19,2001,Brisbane,Medical treatment,0,1,0,0,42,0,0,54,3,57
20,2001,Brisbane,Medical treatment,0,1,0,1,1,0,0,4,0,4
21,2001,Brisbane,Medical treatment,1,0,0,0,56,0,0,67,2,69
22,2001,Brisbane,Medical treatment,1,0,0,1,2,0,0,2,1,3
23,2001,Brisbane,Medical treatment,1,1,0,0,8,0,0,12,0,12
24,2001,Brisbane,Minor injury,0,0,0,0,1346,0,0,0,1608,1608
25,2001,Brisbane,Minor injury,0,0,0,1,21,0,0,0,22,22
26,2001,Brisbane,Minor injury,0,0,1,0,7,0,0,0,7,7
27,2001,Brisbane,Minor injury,0,1,0,0,27,0,0,0,32,32
28,2001,Brisbane,Minor injury,0,1,0,1,3,0,0,0,3,3
29,2001,Brisbane,Minor injury,1,0,0,0,28,0,0,0,31,31
30,2001,Brisbane,Minor injury,1,0,0,1,1,0,0,0,2,2
31,2001,Brisbane,Minor injury,1,0,1,0,1,0,0,0,1,1
32,2001,Brisbane,Minor injury,1,1,0,0,1,0,0,0,1,1
33,2001,Brisbane,Minor injury,1,1,0,1,1,0,0,0,1,1
34,2001,Brisbane,Property damage only,0,0,0,0,2107,0,0,0,0,0
35,2001,Brisbane,Property damage only,0,0,0,1,61,0,0,0,0,0
36,2001,Brisbane,Property damage only,0,0,1,0,24,0,0,0,0,0
37,2001,Brisbane,Property damage only,0,1,0,0,94,0,0,0,0,0
38,2001,Brisbane,Property damage only,0,1,0,1,5,0,0,0,0,0
39,2001,Brisbane,Property damage only,0,1,1,0,2,0,0,0,0,0
40,2001,Brisbane,Property damage only,0,1,1,1,1,0,0,0,0,0
41,2001,Brisbane,Property damage only,1,0,0,0,164,0,0,0,0,0
42,2001,Brisbane,Property damage only,1,0,1,0,2,0,0,0,0,0
43,2001,Brisbane,Property damage only,1,1,0,0,15,0,0,0,0,0
44,2002,Brisbane,Fatal,0,0,0,0,28,28,11,2,2,43
45,2002,Brisbane,Fatal,0,1,0,0,5,6,0,0,0,6
46,2002,Brisbane,Fatal,1,0,0,0,3,3,0,0,0,3
47,2002,Brisbane,Fatal,1,1,0,0,6,8,1,0,1,10
48,2002,Brisbane,Hospitalisation,0,0,0,0,1129,0,1327,143,95,1565
49,2002,Brisbane,Hospitalisation,0,0,0,1,24,0,28,1,1,30
50,2002,Brisbane,Hospitalisation,0,0,1,0,18,0,19,4,0,23
51,2002,Brisbane,Hospitalisation,0,1,0,0,52,0,76,13,3,92
52,2002,Brisbane,Hospitalisation,0,1,0,1,3,0,6,12,0,18
53,2002,Brisbane,Hospitalisation,1,0,0,0,62,0,69,8,3,80
54,2002,Brisbane,Hospitalisation,1,0,0,1,2,0,2,1,0,3
55,2002,Brisbane,Hospitalisation,1,0,1,0,1,0,1,0,0,1
56,2002,Brisbane,Hospitalisation,1,1,0,0,9,0,13,4,3,20
57,2002,Brisbane,Medical treatment,0,0,0,0,1961,0,0,2299,141,2440
58,2002,Brisbane,Medical treatment,0,0,0,1,24,0,0,27,1,28
59,2002,Brisbane,Medical treatment,0,0,1,0,16,0,0,19,2,21
60,2002,Brisbane,Medical treatment,0,1,0,0,41,0,0,56,8,64
61,2002,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,0,1
62,2002,Brisbane,Medical treatment,1,0,0,0,51,0,0,60,3,63
63,2002,Brisbane,Medical treatment,1,0,0,1,1,0,0,1,1,2
64,2002,Brisbane,Medical treatment,1,1,0,0,3,0,0,4,0,4
65,2002,Brisbane,Minor injury,0,0,0,0,1160,0,0,0,1399,1399
66,2002,Brisbane,Minor injury,0,0,0,1,20,0,0,0,23,23
67,2002,Brisbane,Minor injury,0,0,1,0,8,0,0,0,8,8
68,2002,Brisbane,Minor injury,0,1,0,0,28,0,0,0,30,30
69,2002,Brisbane,Minor injury,0,1,0,1,1,0,0,0,1,1
70,2002,Brisbane,Minor injury,0,1,1,0,1,0,0,0,1,1
71,2002,Brisbane,Minor injury,1,0,0,0,30,0,0,0,33,33
72,2002,Brisbane,Minor injury,1,1,0,0,5,0,0,0,6,6
73,2002,Brisbane,Property damage only,0,0,0,0,2056,0,0,0,0,0
74,2002,Brisbane,Property damage only,0,0,0,1,61,0,0,0,0,0
75,2002,Brisbane,Property damage only,0,0,1,0,19,0,0,0,0,0
76,2002,Brisbane,Property damage only,0,1,0,0,128,0,0,0,0,0
77,2002,Brisbane,Property damage only,0,1,0,1,6,0,0,0,0,0
78,2002,Brisbane,Property damage only,0,1,1,0,2,0,0,0,0,0
79,2002,Brisbane,Property damage only,1,0,0,0,159,0,0,0,0,0
80,2002,Brisbane,Property damage only,1,0,0,1,1,0,0,0,0,0
81,2002,Brisbane,Property damage only,1,0,1,0,4,0,0,0,0,0
82,2002,Brisbane,Property damage only,1,1,0,0,17,0,0,0,0,0
83,2002,Brisbane,Property damage only,1,1,0,1,1,0,0,0,0,0
84,2003,Brisbane,Fatal,0,0,0,0,41,41,9,7,1,58
85,2003,Brisbane,Fatal,0,0,0,1,1,1,1,0,0,2
86,2003,Brisbane,Fatal,0,1,0,0,7,7,3,0,1,11
87,2003,Brisbane,Fatal,1,0,0,0,5,5,1,2,0,8
88,2003,Brisbane,Fatal,1,1,0,0,3,3,3,0,0,6
89,2003,Brisbane,Hospitalisation,0,0,0,0,1119,0,1318,142,79,1539
90,2003,Brisbane,Hospitalisation,0,0,0,1,22,0,26,8,2,36
91,2003,Brisbane,Hospitalisation,0,0,1,0,17,0,19,3,0,22
92,2003,Brisbane,Hospitalisation,0,1,0,0,55,0,77,8,2,87
93,2003,Brisbane,Hospitalisation,0,1,0,1,3,0,4,0,0,4
94,2003,Brisbane,Hospitalisation,1,0,0,0,81,0,99,13,2,114
95,2003,Brisbane,Hospitalisation,1,0,1,0,4,0,4,1,0,5
96,2003,Brisbane,Hospitalisation,1,1,0,0,14,0,19,2,0,21
97,2003,Brisbane,Hospitalisation,1,1,0,1,2,0,4,0,0,4
98,2003,Brisbane,Medical treatment,0,0,0,0,1938,0,0,2327,157,2484
99,2003,Brisbane,Medical treatment,0,0,0,1,21,0,0,26,2,28
100,2003,Brisbane,Medical treatment,0,0,1,0,13,0,0,14,0,14
101,2003,Brisbane,Medical treatment,0,1,0,0,46,0,0,55,5,60
102,2003,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,0,1
103,2003,Brisbane,Medical treatment,0,1,1,0,1,0,0,1,0,1
104,2003,Brisbane,Medical treatment,1,0,0,0,53,0,0,66,3,69
105,2003,Brisbane,Medical treatment,1,0,1,0,4,0,0,4,0,4
106,2003,Brisbane,Medical treatment,1,1,0,0,8,0,0,15,1,16
107,2003,Brisbane,Minor injury,0,0,0,0,1155,0,0,0,1391,1391
108,2003,Brisbane,Minor injury,0,0,0,1,17,0,0,0,24,24
109,2003,Brisbane,Minor injury,0,0,1,0,8,0,0,0,11,11
110,2003,Brisbane,Minor injury,0,1,0,0,31,0,0,0,35,35
111,2003,Brisbane,Minor injury,0,1,0,1,1,0,0,0,1,1
112,2003,Brisbane,Minor injury,1,0,0,0,31,0,0,0,37,37
113,2003,Brisbane,Minor injury,1,1,0,0,7,0,0,0,9,9
114,2003,Brisbane,Property damage only,0,0,0,0,2126,0,0,0,0,0
115,2003,Brisbane,Property damage only,0,0,0,1,69,0,0,0,0,0
116,2003,Brisbane,Property damage only,0,0,1,0,29,0,0,0,0,0
117,2003,Brisbane,Property damage only,0,1,0,0,107,0,0,0,0,0
118,2003,Brisbane,Property damage only,0,1,0,1,1,0,0,0,0,0
119,2003,Brisbane,Property damage only,1,0,0,0,160,0,0,0,0,0
120,2003,Brisbane,Property damage only,1,0,1,0,7,0,0,0,0,0
121,2003,Brisbane,Property damage only,1,1,0,0,24,0,0,0,0,0
122,2004,Brisbane,Fatal,0,0,0,0,41,41,17,5,3,66
123,2004,Brisbane,Fatal,0,1,0,0,7,7,1,0,0,8
124,2004,Brisbane,Fatal,0,1,0,1,1,1,0,0,0,1
125,2004,Brisbane,Fatal,1,0,0,0,4,5,4,2,0,11
126,2004,Brisbane,Fatal,1,1,0,0,1,1,0,0,0,1
127,2004,Brisbane,Hospitalisation,0,0,0,0,1233,0,1448,129,87,1664
128,2004,Brisbane,Hospitalisation,0,0,0,1,24,0,26,7,1,34
129,2004,Brisbane,Hospitalisation,0,0,1,0,25,0,27,3,0,30
130,2004,Brisbane,Hospitalisation,0,1,0,0,63,0,92,12,6,110
131,2004,Brisbane,Hospitalisation,1,0,0,0,88,0,112,16,5,133
132,2004,Brisbane,Hospitalisation,1,0,0,1,1,0,1,0,0,1
133,2004,Brisbane,Hospitalisation,1,1,0,0,19,0,26,6,2,34
134,2004,Brisbane,Medical treatment,0,0,0,0,1944,0,0,2315,147,2462
135,2004,Brisbane,Medical treatment,0,0,0,1,29,0,0,32,1,33
136,2004,Brisbane,Medical treatment,0,0,1,0,14,0,0,15,0,15
137,2004,Brisbane,Medical treatment,0,1,0,0,44,0,0,61,6,67
138,2004,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,1,2
139,2004,Brisbane,Medical treatment,1,0,0,0,50,0,0,60,8,68
140,2004,Brisbane,Medical treatment,1,0,1,0,2,0,0,3,0,3
141,2004,Brisbane,Medical treatment,1,1,0,0,7,0,0,10,0,10
142,2004,Brisbane,Minor injury,0,0,0,0,1090,0,0,0,1292,1292
143,2004,Brisbane,Minor injury,0,0,0,1,10,0,0,0,11,11
144,2004,Brisbane,Minor injury,0,0,1,0,3,0,0,0,4,4
145,2004,Brisbane,Minor injury,0,1,0,0,33,0,0,0,38,38
146,2004,Brisbane,Minor injury,0,1,1,0,1,0,0,0,1,1
147,2004,Brisbane,Minor injury,1,0,0,0,37,0,0,0,40,40
148,2004,Brisbane,Minor injury,1,1,0,0,2,0,0,0,2,2
149,2004,Brisbane,Property damage only,0,0,0,0,2289,0,0,0,0,0
150,2004,Brisbane,Property damage only,0,0,0,1,47,0,0,0,0,0
151,2004,Brisbane,Property damage only,0,0,1,0,40,0,0,0,0,0
152,2004,Brisbane,Property damage only,0,1,0,0,147,0,0,0,0,0
153,2004,Brisbane,Property damage only,0,1,0,1,2,0,0,0,0,0
154,2004,Brisbane,Property damage only,1,0,0,0,173,0,0,0,0,0
155,2004,Brisbane,Property damage only,1,0,0,1,4,0,0,0,0,0
156,2004,Brisbane,Property damage only,1,0,1,0,2,0,0,0,0,0
157,2004,Brisbane,Property damage only,1,1,0,0,9,0,0,0,0,0
158,2005,Brisbane,Fatal,0,0,0,0,26,27,7,1,1,36
159,2005,Brisbane,Fatal,0,0,1,0,1,1,0,0,0,1
160,2005,Brisbane,Fatal,0,1,0,0,6,6,1,0,0,7
161,2005,Brisbane,Fatal,1,0,0,0,8,8,6,0,0,14
162,2005,Brisbane,Fatal,1,1,0,0,4,4,1,3,0,8
163,2005,Brisbane,Hospitalisation,0,0,0,0,1303,0,1519,157,98,1774
164,2005,Brisbane,Hospitalisation,0,0,0,1,27,0,30,2,5,37
165,2005,Brisbane,Hospitalisation,0,0,1,0,17,0,20,0,2,22
166,2005,Brisbane,Hospitalisation,0,1,0,0,58,0,82,3,3,88
167,2005,Brisbane,Hospitalisation,1,0,0,0,85,0,106,13,3,122
