,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
0,2013,Brisbane,Fatal,0,0,0,0,16,16,9,1,0,26
1,2013,Brisbane,Fatal,0,0,0,1,1,1,0,0,0,1
2,2013,Brisbane,Fatal,0,1,0,0,3,3,0,0,0,3
3,2013,Brisbane,Fatal,1,0,0,0,5,6,2,3,0,11
4,2013,Brisbane,Fatal,1,1,0,0,3,3,1,0,0,4
5,2013,Brisbane,Hospitalisation,0,0,0,0,1485,0,1723,186,146,2055
6,2013,Brisbane,Hospitalisation,0,0,0,1,24,0,26,3,1,30
7,2013,Brisbane,Hospitalisation,0,0,1,0,28,0,31,1,1,33
8,2013,Brisbane,Hospitalisation,0,1,0,0,32,0,40,4,2,46
9,2013,Brisbane,Hospitalisation,0,1,0,1,2,0,2,0,0,2
10,2013,Brisbane,Hospitalisation,1,0,0,0,82,0,91,6,5,102
11,2013,Brisbane,Hospitalisation,1,0,1,0,2,0,4,0,0,4
12,2013,Brisbane,Hospitalisation,1,1,0,0,7,0,7,1,0,8
13,2013,Brisbane,Medical treatment,0,0,0,0,1872,0,0,2226,162,2388
14,2013,Brisbane,Medical treatment,0,0,0,1,14,0,0,15,0,15
15,2013,Brisbane,Medical treatment,0,0,1,0,17,0,0,19,0,19
16,2013,Brisbane,Medical treatment,0,1,0,0,25,0,0,36,2,38
17,2013,Brisbane,Medical treatment,1,0,0,0,32,0,0,36,0,36
18,2013,Brisbane,Medical treatment,1,0,1,0,1,0,0,1,0,1
19,2013,Brisbane,Medical treatment,1,1,0,0,3,0,0,3,0,3
20,2013,Brisbane,Medical treatment,1,1,0,1,1,0,0,1,0,1
21,2013,Brisbane,Minor injury,0,0,0,0,468,0,0,0,541,541
22,2013,Brisbane,Minor injury,0,0,0,1,5,0,0,0,8,8
23,2013,Brisbane,Minor injury,0,0,1,0,2,0,0,0,3,3
24,2013,Brisbane,Minor injury,0,1,0,0,1,0,0,0,1,1
25,2013,Brisbane,Minor injury,1,0,0,0,14,0,0,0,15,15
26,2013,Brisbane,Minor injury,1,1,0,0,1,0,0,0,1,1
27,2014,Brisbane,Fatal,0,0,0,0,16,18,4,2,1,25
28,2014,Brisbane,Fatal,0,0,1,0,1,1,0,1,0,2
29,2014,Brisbane,Fatal,0,1,0,0,7,7,0,0,1,8
30,2014,Brisbane,Fatal,1,0,0,1,1,1,0,0,0,1
31,2014,Brisbane,Hospitalisation,0,0,0,0,1328,0,1522,122,98,1742
32,2014,Brisbane,Hospitalisation,0,0,0,1,18,0,21,4,0,25
33,2014,Brisbane,Hospitalisation,0,0,1,0,26,0,33,4,3,40
34,2014,Brisbane,Hospitalisation,0,1,0,0,37,0,44,5,5,54
35,2014,Brisbane,Hospitalisation,0,1,0,1,1,0,2,0,1,3
36,2014,Brisbane,Hospitalisation,1,0,0,0,69,0,82,1,7,90
37,2014,Brisbane,Hospitalisation,1,0,0,1,1,0,2,0,1,3
38,2014,Brisbane,Hospitalisation,1,0,1,0,1,0,1,0,0,1
39,2014,Brisbane,Hospitalisation,1,1,0,0,10,0,11,0,0,11
40,2014,Brisbane,Medical treatment,0,0,0,0,1897,0,0,2225,137,2362
41,2014,Brisbane,Medical treatment,0,0,0,1,17,0,0,21,3,24
42,2014,Brisbane,Medical treatment,0,0,1,0,20,0,0,22,1,23
43,2014,Brisbane,Medical treatment,0,1,0,0,20,0,0,24,1,25
44,2014,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,0,1
45,2014,Brisbane,Medical treatment,1,0,0,0,52,0,0,65,1,66
46,2014,Brisbane,Minor injury,0,0,0,0,491,0,0,0,573,573
47,2014,Brisbane,Minor injury,0,0,0,1,4,0,0,0,4,4
48,2014,Brisbane,Minor injury,0,0,1,0,2,0,0,0,2,2
49,2014,Brisbane,Minor injury,0,1,0,0,7,0,0,0,7,7
50,2014,Brisbane,Minor injury,1,0,0,0,4,0,0,0,4,4
51,2015,Brisbane,Fatal,0,0,0,0,11,11,1,1,2,15
52,2015,Brisbane,Fatal,0,0,0,1,2,3,1,0,1,5
53,2015,Brisbane,Fatal,0,1,0,0,6,6,0,0,0,6
54,2015,Brisbane,Fatal,1,0,0,0,4,4,0,0,0,4
55,2015,Brisbane,Fatal,1,1,0,0,7,7,2,1,0,10
56,2015,Brisbane,Hospitalisation,0,0,0,0,1226,0,1418,141,85,1644
57,2015,Brisbane,Hospitalisation,0,0,0,1,18,0,27,3,0,30
58,2015,Brisbane,Hospitalisation,0,0,1,0,34,0,40,1,0,41
59,2015,Brisbane,Hospitalisation,0,1,0,0,30,0,34,8,1,43
60,2015,Brisbane,Hospitalisation,0,1,1,0,1,0,1,0,0,1
61,2015,Brisbane,Hospitalisation,1,0,0,0,75,0,83,5,5,93
62,2015,Brisbane,Hospitalisation,1,0,1,0,1,0,1,0,0,1
63,2015,Brisbane,Hospitalisation,1,1,0,0,9,0,14,0,0,14
64,2015,Brisbane,Medical treatment,0,0,0,0,2046,0,0,2411,140,2551
65,2015,Brisbane,Medical treatment,0,0,0,1,20,0,0,26,1,27
66,2015,Brisbane,Medical treatment,0,0,1,0,17,0,0,19,1,20
67,2015,Brisbane,Medical treatment,0,1,0,0,18,0,0,24,2,26
68,2015,Brisbane,Medical treatment,1,0,0,0,43,0,0,51,6,57
69,2015,Brisbane,Medical treatment,1,1,0,0,5,0,0,8,0,8
70,2015,Brisbane,Minor injury,0,0,0,0,340,0,0,0,400,400
71,2015,Brisbane,Minor injury,0,0,0,1,5,0,0,0,6,6
72,2015,Brisbane,Minor injury,0,0,1,0,3,0,0,0,4,4
73,2015,Brisbane,Minor injury,0,0,1,1,1,0,0,0,2,2
74,2015,Brisbane,Minor injury,0,1,0,0,3,0,0,0,3,3
75,2015,Brisbane,Minor injury,1,0,0,0,11,0,0,0,13,13
76,2015,Brisbane,Minor injury,1,0,1,0,1,0,0,0,1,1
77,2015,Brisbane,Minor injury,1,1,0,0,1,0,0,0,1,1
78,2016,Brisbane,Fatal,0,0,0,0,25,25,3,3,2,33
79,2016,Brisbane,Fatal,0,0,0,1,1,1,0,0,0,1
80,2016,Brisbane,Fatal,0,1,0,0,8,8,1,0,0,9
81,2016,Brisbane,Fatal,1,0,0,0,2,2,0,0,1,3
82,2016,Brisbane,Fatal,1,1,0,0,3,3,0,1,0,4
83,2016,Brisbane,Hospitalisation,0,0,0,0,1274,0,1444,160,95,1699
84,2016,Brisbane,Hospitalisation,0,0,0,1,19,0,26,5,0,31
85,2016,Brisbane,Hospitalisation,0,0,1,0,27,0,36,1,0,37
86,2016,Brisbane,Hospitalisation,0,1,0,0,30,0,34,3,1,38
87,2016,Brisbane,Hospitalisation,1,0,0,0,85,0,100,11,5,116
88,2016,Brisbane,Hospitalisation,1,0,0,1,2,0,2,0,0,2
89,2016,Brisbane,Hospitalisation,1,1,0,0,11,0,13,1,1,15
90,2016,Brisbane,Medical treatment,0,0,0,0,2054,0,0,2408,139,2547
91,2016,Brisbane,Medical treatment,0,0,0,1,17,0,0,20,5,25
92,2016,Brisbane,Medical treatment,0,0,1,0,24,0,0,27,0,27
93,2016,Brisbane,Medical treatment,0,1,0,0,13,0,0,18,2,20
94,2016,Brisbane,Medical treatment,1,0,0,0,38,0,0,45,3,48
95,2016,Brisbane,Medical treatment,1,1,0,0,3,0,0,3,1,4
96,2016,Brisbane,Minor injury,0,0,0,0,438,0,0,0,510,510
97,2016,Brisbane,Minor injury,0,0,0,1,5,0,0,0,5,5
98,2016,Brisbane,Minor injury,0,0,1,0,3,0,0,0,4,4
99,2016,Brisbane,Minor injury,0,1,0,0,5,0,0,0,5,5
100,2016,Brisbane,Minor injury,1,0,0,0,9,0,0,0,10,10
101,2017,Brisbane,Fatal,0,0,0,0,24,25,10,2,1,38
102,2017,Brisbane,Fatal,0,0,1,0,1,1,0,0,0,1
103,2017,Brisbane,Fatal,0,1,0,0,4,4,1,1,0,6
104,2017,Brisbane,Fatal,1,0,0,0,2,2,0,0,0,2
105,2017,Brisbane,Fatal,1,1,0,0,3,3,0,0,0,3
106,2017,Brisbane,Fatal,1,1,0,1,1,1,0,0,0,1
107,2017,Brisbane,Hospitalisation,0,0,0,0,1269,0,1444,119,108,1671
108,2017,Brisbane,Hospitalisation,0,0,0,1,12,0,15,1,0,16
109,2017,Brisbane,Hospitalisation,0,0,1,0,22,0,28,2,2,32
110,2017,Brisbane,Hospitalisation,0,1,0,0,35,0,42,9,4,55
111,2017,Brisbane,Hospitalisation,0,1,1,0,2,0,2,1,0,3
112,2017,Brisbane,Hospitalisation,1,0,0,0,75,0,90,4,9,103
113,2017,Brisbane,Hospitalisation,1,0,1,0,1,0,1,1,1,3
114,2017,Brisbane,Hospitalisation,1,1,0,0,14,0,18,0,1,19
115,2017,Brisbane,Hospitalisation,1,1,0,1,1,0,2,0,1,3
116,2017,Brisbane,Medical treatment,0,0,0,0,2068,0,0,2364,181,2545
117,2017,Brisbane,Medical treatment,0,0,0,1,16,0,0,18,1,19
118,2017,Brisbane,Medical treatment,0,0,1,0,23,0,0,25,3,28
119,2017,Brisbane,Medical treatment,0,1,0,0,14,0,0,16,2,18
120,2017,Brisbane,Medical treatment,0,1,0,1,1,0,0,1,0,1
121,2017,Brisbane,Medical treatment,1,0,0,0,38,0,0,42,1,43
122,2017,Brisbane,Medical treatment,1,1,0,1,1,0,0,1,0,1
123,2017,Brisbane,Minor injury,0,0,0,0,614,0,0,0,720,720
124,2017,Brisbane,Minor injury,0,0,0,1,3,0,0,0,3,3
125,2017,Brisbane,Minor injury,0,0,1,0,9,0,0,0,9,9
126,2017,Brisbane,Minor injury,0,1,0,0,3,0,0,0,3,3
127,2017,Brisbane,Minor injury,1,0,0,0,14,0,0,0,15,15
128,2017,Brisbane,Minor injury,1,1,0,0,2,0,0,0,2,2
129,2018,Brisbane,Fatal,0,0,0,0,13,13,11,1,0,25
130,2018,Brisbane,Fatal,0,1,0,0,9,10,3,5,0,18
131,2018,Brisbane,Fatal,1,0,0,0,4,4,6,0,0,10
132,2018,Brisbane,Fatal,1,1,0,0,2,2,0,1,0,3
133,2018,Brisbane,Fatal,1,1,0,1,1,1,0,0,0,1
134,2018,Brisbane,Hospitalisation,0,0,0,0,1245,0,1461,112,112,1685
135,2018,Brisbane,Hospitalisation,0,0,0,1,12,0,15,1,1,17
136,2018,Brisbane,Hospitalisation,0,0,1,0,30,0,32,1,2,35
137,2018,Brisbane,Hospitalisation,0,0,1,1,1,0,1,0,0,1
138,2018,Brisbane,Hospitalisation,0,1,0,0,42,0,54,4,6,64
139,2018,Brisbane,Hospitalisation,1,0,0,0,94,0,116,9,5,130
140,2018,Brisbane,Hospitalisation,1,1,0,0,9,0,9,0,0,9
141,2018,Brisbane,Medical treatment,0,0,0,0,2013,0,0,2299,198,2497
142,2018,Brisbane,Medical treatment,0,0,0,1,10,0,0,12,1,13
143,2018,Brisbane,Medical treatment,0,0,1,0,18,0,0,19,3,22
144,2018,Brisbane,Medical treatment,0,1,0,0,7,0,0,10,0,10
145,2018,Brisbane,Medical treatment,1,0,0,0,34,0,0,41,6,47
146,2018,Brisbane,Medical treatment,1,0,1,0,2,0,0,3,0,3
147,2018,Brisbane,Medical treatment,1,1,0,0,3,0,0,3,0,3
148,2018,Brisbane,Minor injury,0,0,0,0,633,0,0,0,729,729
149,2018,Brisbane,Minor injury,0,0,0,1,6,0,0,0,7,7
150,2018,Brisbane,Minor injury,0,0,1,0,5,0,0,0,5,5
151,2018,Brisbane,Minor injury,0,1,0,0,4,0,0,0,4,4
152,2018,Brisbane,Minor injury,1,0,0,0,11,0,0,0,12,12
