,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
0,2013,Brisbane,Fatal,0,0,0,20,21,12,3,0,36
1,2013,Brisbane,Fatal,0,1,0,3,3,0,1,0,4
2,2013,Brisbane,Fatal,1,0,0,4,4,0,0,0,4
3,2013,Brisbane,Fatal,1,1,0,1,1,0,0,0,1
4,2013,Brisbane,Hospitalisation,0,0,0,1217,0,1440,173,132,1745
5,2013,Brisbane,Hospitalisation,0,0,1,31,0,39,2,4,45
6,2013,Brisbane,Hospitalisation,0,1,0,98,0,116,16,9,141
7,2013,Brisbane,Hospitalisation,0,1,1,1,0,1,0,0,1
8,2013,Brisbane,Hospitalisation,1,0,0,302,0,315,10,10,335
9,2013,Brisbane,Hospitalisation,1,0,1,3,0,3,0,0,3
10,2013,Brisbane,Hospitalisation,1,1,0,10,0,10,0,0,10
11,2013,Brisbane,Medical treatment,0,0,0,1623,0,0,1959,152,2111
12,2013,Brisbane,Medical treatment,0,0,1,43,0,0,50,4,54
13,2013,Brisbane,Medical treatment,0,1,0,132,0,0,151,6,157
14,2013,Brisbane,Medical treatment,0,1,1,2,0,0,2,1,3
15,2013,Brisbane,Medical treatment,1,0,0,158,0,0,168,1,169
16,2013,Brisbane,Medical treatment,1,0,1,3,0,0,3,0,3
17,2013,Brisbane,Medical treatment,1,1,0,4,0,0,4,0,4
18,2013,Brisbane,Minor injury,0,0,0,418,0,0,0,491,491
19,2013,Brisbane,Minor injury,0,0,1,15,0,0,0,18,18
20,2013,Brisbane,Minor injury,0,1,0,20,0,0,0,21,21
21,2013,Brisbane,Minor injury,0,1,1,1,0,0,0,1,1
22,2013,Brisbane,Minor injury,1,0,0,34,0,0,0,35,35
23,2013,Brisbane,Minor injury,1,0,1,2,0,0,0,2,2
24,2013,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
25,2014,Brisbane,Fatal,0,0,0,14,15,3,2,1,21
26,2014,Brisbane,Fatal,0,1,0,5,6,1,1,0,8
27,2014,Brisbane,Fatal,1,0,0,6,6,0,0,1,7
28,2014,Brisbane,Hospitalisation,0,0,0,1099,0,1294,125,101,1520
29,2014,Brisbane,Hospitalisation,0,0,1,26,0,32,3,2,37
30,2014,Brisbane,Hospitalisation,0,1,0,92,0,105,5,6,116
31,2014,Brisbane,Hospitalisation,1,0,0,266,0,279,2,6,287
32,2014,Brisbane,Hospitalisation,1,0,1,1,0,1,0,0,1
33,2014,Brisbane,Hospitalisation,1,1,0,7,0,7,1,0,8
34,2014,Brisbane,Medical treatment,0,0,0,1670,0,0,1986,132,2118
35,2014,Brisbane,Medical treatment,0,0,1,37,0,0,53,2,55
36,2014,Brisbane,Medical treatment,0,1,0,115,0,0,127,4,131
37,2014,Brisbane,Medical treatment,0,1,1,1,0,0,3,0,3
38,2014,Brisbane,Medical treatment,1,0,0,177,0,0,182,5,187
39,2014,Brisbane,Medical treatment,1,0,1,1,0,0,1,0,1
40,2014,Brisbane,Medical treatment,1,1,0,6,0,0,6,0,6
41,2014,Brisbane,Minor injury,0,0,0,439,0,0,0,507,507
42,2014,Brisbane,Minor injury,0,0,1,5,0,0,0,6,6
43,2014,Brisbane,Minor injury,0,1,0,21,0,0,0,32,32
44,2014,Brisbane,Minor injury,0,1,1,1,0,0,0,1,1
45,2014,Brisbane,Minor injury,1,0,0,39,0,0,0,41,41
46,2014,Brisbane,Minor injury,1,1,0,3,0,0,0,3,3
47,2015,Brisbane,Fatal,0,0,0,18,18,3,2,1,24
48,2015,Brisbane,Fatal,0,1,0,3,4,1,0,1,6
49,2015,Brisbane,Fatal,1,0,0,9,9,0,0,1,10
50,2015,Brisbane,Hospitalisation,0,0,0,971,0,1170,129,72,1371
51,2015,Brisbane,Hospitalisation,0,0,1,27,0,33,6,6,45
52,2015,Brisbane,Hospitalisation,0,1,0,84,0,90,13,5,108
53,2015,Brisbane,Hospitalisation,1,0,0,304,0,315,10,7,332
54,2015,Brisbane,Hospitalisation,1,0,1,3,0,3,0,0,3
55,2015,Brisbane,Hospitalisation,1,1,0,5,0,7,0,1,8
56,2015,Brisbane,Medical treatment,0,0,0,1775,0,0,2135,136,2271
57,2015,Brisbane,Medical treatment,0,0,1,57,0,0,64,2,66
58,2015,Brisbane,Medical treatment,0,1,0,122,0,0,140,12,152
59,2015,Brisbane,Medical treatment,1,0,0,188,0,0,193,0,193
60,2015,Brisbane,Medical treatment,1,0,1,2,0,0,2,0,2
61,2015,Brisbane,Medical treatment,1,1,0,5,0,0,5,0,5
62,2015,Brisbane,Minor injury,0,0,0,298,0,0,0,361,361
63,2015,Brisbane,Minor injury,0,0,1,8,0,0,0,9,9
64,2015,Brisbane,Minor injury,0,1,0,34,0,0,0,35,35
65,2015,Brisbane,Minor injury,1,0,0,24,0,0,0,24,24
66,2015,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
67,2016,Brisbane,Fatal,0,0,0,19,19,3,1,1,24
68,2016,Brisbane,Fatal,0,1,0,4,4,0,0,1,5
69,2016,Brisbane,Fatal,1,0,0,15,15,1,3,1,20
70,2016,Brisbane,Fatal,1,1,0,1,1,0,0,0,1
71,2016,Brisbane,Hospitalisation,0,0,0,1018,0,1203,148,90,1441
72,2016,Brisbane,Hospitalisation,0,0,1,22,0,24,4,1,29
73,2016,Brisbane,Hospitalisation,0,1,0,77,0,91,16,4,111
74,2016,Brisbane,Hospitalisation,0,1,1,1,0,1,0,0,1
75,2016,Brisbane,Hospitalisation,1,0,0,317,0,323,11,7,341
76,2016,Brisbane,Hospitalisation,1,0,1,6,0,6,1,0,7
77,2016,Brisbane,Hospitalisation,1,1,0,7,0,7,1,0,8
78,2016,Brisbane,Medical treatment,0,0,0,1782,0,0,2118,134,2252
79,2016,Brisbane,Medical treatment,0,0,1,32,0,0,37,6,43
80,2016,Brisbane,Medical treatment,0,1,0,138,0,0,158,6,164
81,2016,Brisbane,Medical treatment,0,1,1,4,0,0,5,0,5
82,2016,Brisbane,Medical treatment,1,0,0,185,0,0,193,4,197
83,2016,Brisbane,Medical treatment,1,0,1,2,0,0,2,0,2
84,2016,Brisbane,Medical treatment,1,1,0,6,0,0,8,0,8
85,2016,Brisbane,Minor injury,0,0,0,388,0,0,0,454,454
86,2016,Brisbane,Minor injury,0,0,1,9,0,0,0,10,10
87,2016,Brisbane,Minor injury,0,1,0,21,0,0,0,26,26
88,2016,Brisbane,Minor injury,1,0,0,40,0,0,0,42,42
89,2016,Brisbane,Minor injury,1,1,0,2,0,0,0,2,2
90,2017,Brisbane,Fatal,0,0,0,21,22,11,1,1,35
91,2017,Brisbane,Fatal,0,0,1,3,3,0,0,0,3
92,2017,Brisbane,Fatal,0,1,0,2,2,0,0,0,2
93,2017,Brisbane,Fatal,0,1,1,1,1,0,0,0,1
94,2017,Brisbane,Fatal,1,0,0,8,8,0,2,0,10
95,2017,Brisbane,Hospitalisation,0,0,0,1032,0,1218,114,101,1433
96,2017,Brisbane,Hospitalisation,0,0,1,25,0,28,4,5,37
97,2017,Brisbane,Hospitalisation,0,1,0,71,0,84,8,14,106
98,2017,Brisbane,Hospitalisation,1,0,0,289,0,298,11,6,315
