,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
0,2015,Brisbane,Fatal,0,0,0,18,18,3,2,1,24
1,2015,Brisbane,Fatal,0,1,0,3,4,1,0,1,6
2,2015,Brisbane,Fatal,1,0,0,9,9,0,0,1,10
3,2015,Brisbane,Hospitalisation,0,0,0,971,0,1170,129,72,1371
4,2015,Brisbane,Hospitalisation,0,0,1,27,0,33,6,6,45
5,2015,Brisbane,Hospitalisation,0,1,0,84,0,90,13,5,108
6,2015,Brisbane,Hospitalisation,1,0,0,304,0,315,10,7,332
7,2015,Brisbane,Hospitalisation,1,0,1,3,0,3,0,0,3
8,2015,Brisbane,Hospitalisation,1,1,0,5,0,7,0,1,8
9,2015,Brisbane,Medical treatment,0,0,0,1775,0,0,2135,136,2271
10,2015,Brisbane,Medical treatment,0,0,1,57,0,0,64,2,66
11,2015,Brisbane,Medical treatment,0,1,0,122,0,0,140,12,152
12,2015,Brisbane,Medical treatment,1,0,0,188,0,0,193,0,193
13,2015,Brisbane,Medical treatment,1,0,1,2,0,0,2,0,2
14,2015,Brisbane,Medical treatment,1,1,0,5,0,0,5,0,5
15,2015,Brisbane,Minor injury,0,0,0,298,0,0,0,361,361
16,2015,Brisbane,Minor injury,0,0,1,8,0,0,0,9,9
17,2015,Brisbane,Minor injury,0,1,0,34,0,0,0,35,35
18,2015,Brisbane,Minor injury,1,0,0,24,0,0,0,24,24
19,2015,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
20,2016,Brisbane,Fatal,0,0,0,19,19,3,1,1,24
21,2016,Brisbane,Fatal,0,1,0,4,4,0,0,1,5
22,2016,Brisbane,Fatal,1,0,0,15,15,1,3,1,20
23,2016,Brisbane,Fatal,1,1,0,1,1,0,0,0,1
24,2016,Brisbane,Hospitalisation,0,0,0,1018,0,1203,148,90,1441
25,2016,Brisbane,Hospitalisation,0,0,1,22,0,24,4,1,29
26,2016,Brisbane,Hospitalisation,0,1,0,77,0,91,16,4,111
27,2016,Brisbane,Hospitalisation,0,1,1,1,0,1,0,0,1
28,2016,Brisbane,Hospitalisation,1,0,0,317,0,323,11,7,341
29,2016,Brisbane,Hospitalisation,1,0,1,6,0,6,1,0,7
30,2016,Brisbane,Hospitalisation,1,1,0,7,0,7,1,0,8
31,2016,Brisbane,Medical treatment,0,0,0,1782,0,0,2118,134,2252
32,2016,Brisbane,Medical treatment,0,0,1,32,0,0,37,6,43
33,2016,Brisbane,Medical treatment,0,1,0,138,0,0,158,6,164
34,2016,Brisbane,Medical treatment,0,1,1,4,0,0,5,0,5
35,2016,Brisbane,Medical treatment,1,0,0,185,0,0,193,4,197
36,2016,Brisbane,Medical treatment,1,0,1,2,0,0,2,0,2
37,2016,Brisbane,Medical treatment,1,1,0,6,0,0,8,0,8
38,2016,Brisbane,Minor injury,0,0,0,388,0,0,0,454,454
39,2016,Brisbane,Minor injury,0,0,1,9,0,0,0,10,10
40,2016,Brisbane,Minor injury,0,1,0,21,0,0,0,26,26
41,2016,Brisbane,Minor injury,1,0,0,40,0,0,0,42,42
42,2016,Brisbane,Minor injury,1,1,0,2,0,0,0,2,2
43,2017,Brisbane,Fatal,0,0,0,21,22,11,1,1,35
44,2017,Brisbane,Fatal,0,0,1,3,3,0,0,0,3
45,2017,Brisbane,Fatal,0,1,0,2,2,0,0,0,2
46,2017,Brisbane,Fatal,0,1,1,1,1,0,0,0,1
47,2017,Brisbane,Fatal,1,0,0,8,8,0,2,0,10
48,2017,Brisbane,Hospitalisation,0,0,0,1032,0,1218,114,101,1433
49,2017,Brisbane,Hospitalisation,0,0,1,25,0,28,4,5,37
50,2017,Brisbane,Hospitalisation,0,1,0,71,0,84,8,14,106
51,2017,Brisbane,Hospitalisation,1,0,0,289,0,298,11,6,315
52,2017,Brisbane,Hospitalisation,1,0,1,3,0,3,0,0,3
53,2017,Brisbane,Hospitalisation,1,1,0,11,0,11,0,0,11
54,2017,Brisbane,Medical treatment,0,0,0,1814,0,0,2098,172,2270
55,2017,Brisbane,Medical treatment,0,0,1,46,0,0,49,4,53
56,2017,Brisbane,Medical treatment,0,1,0,131,0,0,146,9,155
57,2017,Brisbane,Medical treatment,0,1,1,3,0,0,3,0,3
58,2017,Brisbane,Medical treatment,1,0,0,160,0,0,164,2,166
59,2017,Brisbane,Medical treatment,1,1,0,7,0,0,7,1,8
60,2017,Brisbane,Minor injury,0,0,0,542,0,0,0,641,641
61,2017,Brisbane,Minor injury,0,0,1,13,0,0,0,14,14
62,2017,Brisbane,Minor injury,0,1,0,40,0,0,0,42,42
63,2017,Brisbane,Minor injury,1,0,0,49,0,0,0,54,54
64,2017,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
65,2018,Brisbane,Fatal,0,0,0,21,22,17,7,0,46
66,2018,Brisbane,Fatal,0,0,1,1,1,0,0,0,1
67,2018,Brisbane,Fatal,0,1,0,1,1,0,0,0,1
68,2018,Brisbane,Fatal,1,0,0,5,5,3,0,0,8
69,2018,Brisbane,Fatal,1,1,0,1,1,0,0,0,1
70,2018,Brisbane,Hospitalisation,0,0,0,1015,0,1231,108,103,1442
71,2018,Brisbane,Hospitalisation,0,0,1,23,0,33,6,7,46
72,2018,Brisbane,Hospitalisation,0,1,0,84,0,98,6,7,111
73,2018,Brisbane,Hospitalisation,0,1,1,1,0,3,0,1,4
74,2018,Brisbane,Hospitalisation,1,0,0,295,0,308,7,7,322
75,2018,Brisbane,Hospitalisation,1,0,1,4,0,4,0,0,4
76,2018,Brisbane,Hospitalisation,1,1,0,11,0,11,0,1,12
77,2018,Brisbane,Medical treatment,0,0,0,1732,0,0,1998,189,2187
78,2018,Brisbane,Medical treatment,0,0,1,41,0,0,44,2,46
79,2018,Brisbane,Medical treatment,0,1,0,142,0,0,162,14,176
80,2018,Brisbane,Medical treatment,0,1,1,3,0,0,3,0,3
81,2018,Brisbane,Medical treatment,1,0,0,162,0,0,173,3,176
82,2018,Brisbane,Medical treatment,1,0,1,3,0,0,3,0,3
83,2018,Brisbane,Medical treatment,1,1,0,4,0,0,4,0,4
84,2018,Brisbane,Minor injury,0,0,0,554,0,0,0,643,643
85,2018,Brisbane,Minor injury,0,0,1,12,0,0,0,17,17
86,2018,Brisbane,Minor injury,0,1,0,47,0,0,0,50,50
87,2018,Brisbane,Minor injury,1,0,0,45,0,0,0,46,46
88,2018,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
